task_index,repetition,strategy,models_used,internals
16,1,consensus,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|Qwen/Qwen3-8B|deepseek-v4-pro|phala/qwen3.5-397b-a17b,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, Qwen/Qwen3-8B, deepseek-v4-pro, phala/qwen3.5-397b-a17b] [decider: phala/qwen3.5-397b-a17b] [subcalls: voter:phala/gpt-oss-120b($0.0000/1ms), voter:kimi-k2-0905-preview($0.0000/1ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), voter:Qwen/Qwen3-8B($0.0011/39007ms), voter:deepseek-v4-pro($1.7315/40783ms), coordinator:phala/qwen3.5-397b-a17b($0.0075/0ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → Qwen/Qwen3-8B → deepseek-v4-pro → phala/qwen3.5-397b-a17b] [aggregation: synthesis]"
16,2,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b|mistral-large-latest,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b, mistral-large-latest] [decider: openai/gpt-oss-120b] [subcalls: voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:openai/gpt-oss-120b($0.0006/2050ms), voter:openai/gpt-oss-120b($0.0020/6793ms), voter:mistral-large-latest($0.0166/31343ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b → mistral-large-latest] [aggregation: synthesis]"
21,1,consensus,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|meta-llama/Llama-3.1-8B-Instruct|deepseek-v4-pro|phala/qwen3.5-397b-a17b,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, meta-llama/Llama-3.1-8B-Instruct, deepseek-v4-pro, phala/qwen3.5-397b-a17b] [decider: phala/qwen3.5-397b-a17b] [subcalls: voter:phala/gpt-oss-120b($0.0000/1ms), voter:kimi-k2-0905-preview($0.0000/1ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), voter:meta-llama/Llama-3.1-8B-Instruct($0.0000/1155ms), voter:deepseek-v4-pro($0.2963/6188ms), coordinator:phala/qwen3.5-397b-a17b($0.0067/0ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → meta-llama/Llama-3.1-8B-Instruct → deepseek-v4-pro → phala/qwen3.5-397b-a17b] [aggregation: synthesis]"
26,1,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|codestral-latest|mistralai/ministral-14b-instruct-2512,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, codestral-latest, mistralai/ministral-14b-instruct-2512] [decider: codestral-latest] [subcalls: voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:codestral-latest($0.0008/11367ms), voter:mistralai/ministral-14b-instruct-2512($0.0111/31103ms), voter:mistralai/ministral-14b-instruct-2512($0.0121/35296ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → codestral-latest → mistralai/ministral-14b-instruct-2512] [aggregation: synthesis]"
26,2,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b|minimax/minimax-m2.1-lightning,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b, minimax/minimax-m2.1-lightning] [decider: openai/gpt-oss-120b] [subcalls: voter:kimi-k2-0905-preview($0.0000/1ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), voter:openai/gpt-oss-120b($0.0008/3300ms), voter:openai/gpt-oss-120b($0.0019/6918ms), voter:minimax/minimax-m2.1-lightning($0.0000/7450ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b → minimax/minimax-m2.1-lightning] [aggregation: synthesis]"
28,1,consensus,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|codestral-latest|Qwen/Qwen3-8B|phala/qwen3.5-397b-a17b,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, codestral-latest, Qwen/Qwen3-8B, phala/qwen3.5-397b-a17b] [decider: phala/qwen3.5-397b-a17b] [subcalls: voter:phala/gpt-oss-120b($0.0000/0ms), voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:codestral-latest($0.0007/6723ms), voter:Qwen/Qwen3-8B($0.0014/47348ms), coordinator:phala/qwen3.5-397b-a17b($0.0075/0ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → codestral-latest → Qwen/Qwen3-8B → phala/qwen3.5-397b-a17b] [aggregation: synthesis]"
28,2,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b|mistral-large-latest,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b, mistral-large-latest] [decider: openai/gpt-oss-120b] [subcalls: voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:openai/gpt-oss-120b($0.0004/1553ms), voter:openai/gpt-oss-120b($0.0017/6907ms), voter:mistral-large-latest($0.0103/20511ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b → mistral-large-latest] [aggregation: synthesis]"
34,1,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b|Qwen/Qwen3-8B|deepseek-v4-pro|phala/qwen3.5-397b-a17b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b, Qwen/Qwen3-8B, deepseek-v4-pro, phala/qwen3.5-397b-a17b] [decider: phala/qwen3.5-397b-a17b] [subcalls: voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:openai/gpt-oss-120b($0.0004/1418ms), voter:Qwen/Qwen3-8B($0.0008/25732ms), voter:deepseek-v4-pro($1.0593/27080ms), coordinator:phala/qwen3.5-397b-a17b($0.0078/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b → Qwen/Qwen3-8B → deepseek-v4-pro → phala/qwen3.5-397b-a17b] [aggregation: synthesis]"
34,2,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b|qwen3-max-preview|mistral-large-latest,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b, qwen3-max-preview, mistral-large-latest] [decider: openai/gpt-oss-120b] [subcalls: voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:openai/gpt-oss-120b($0.0004/1529ms), voter:qwen3-max-preview($0.6375/19412ms), voter:mistral-large-latest($0.0069/23266ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b → qwen3-max-preview → mistral-large-latest] [aggregation: synthesis]"
39,1,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|meta-llama/Llama-3.1-8B-Instruct|gpt-oss-120b|google/gemma-4-31b-it,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, meta-llama/Llama-3.1-8B-Instruct, gpt-oss-120b, google/gemma-4-31b-it] [decider: meta-llama/Llama-3.1-8B-Instruct] [subcalls: voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:meta-llama/Llama-3.1-8B-Instruct($0.0000/2758ms), voter:gpt-oss-120b($0.0010/2581ms), voter:google/gemma-4-31b-it($0.0049/58704ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → meta-llama/Llama-3.1-8B-Instruct → gpt-oss-120b → google/gemma-4-31b-it] [aggregation: synthesis]"
46,1,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|codestral-latest|mistralai/ministral-14b-instruct-2512,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, codestral-latest, mistralai/ministral-14b-instruct-2512] [decider: codestral-latest] [subcalls: voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:codestral-latest($0.0010/9776ms), voter:mistralai/ministral-14b-instruct-2512($0.0106/27522ms), voter:mistralai/ministral-14b-instruct-2512($0.0286/135372ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → codestral-latest → mistralai/ministral-14b-instruct-2512] [aggregation: synthesis]"
46,2,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b] [decider: openai/gpt-oss-120b] [subcalls: voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:openai/gpt-oss-120b($0.0007/2733ms), voter:openai/gpt-oss-120b($0.0019/7461ms), voter:openai/gpt-oss-120b($0.0204/22962ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b] [aggregation: synthesis]"
47,1,consensus,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|meta-llama/Llama-3.1-8B-Instruct|mistralai/ministral-14b-instruct-2512,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, meta-llama/Llama-3.1-8B-Instruct, mistralai/ministral-14b-instruct-2512] [decider: meta-llama/Llama-3.1-8B-Instruct] [subcalls: voter:phala/gpt-oss-120b($0.0000/0ms), voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:meta-llama/Llama-3.1-8B-Instruct($0.0000/1627ms), voter:mistralai/ministral-14b-instruct-2512($0.0043/32494ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → meta-llama/Llama-3.1-8B-Instruct → mistralai/ministral-14b-instruct-2512] [aggregation: synthesis]"
48,1,consensus,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|meta-llama/Llama-3.1-8B-Instruct|deepseek-v4-pro|phala/qwen3.5-397b-a17b,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, meta-llama/Llama-3.1-8B-Instruct, deepseek-v4-pro, phala/qwen3.5-397b-a17b] [decider: phala/qwen3.5-397b-a17b] [subcalls: voter:phala/gpt-oss-120b($0.0000/1ms), voter:kimi-k2-0905-preview($0.0000/1ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), voter:meta-llama/Llama-3.1-8B-Instruct($0.0000/4682ms), voter:deepseek-v4-pro($0.7403/20347ms), coordinator:phala/qwen3.5-397b-a17b($0.0075/0ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → meta-llama/Llama-3.1-8B-Instruct → deepseek-v4-pro → phala/qwen3.5-397b-a17b] [aggregation: synthesis]"
48,2,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|meta-llama/Llama-3.1-8B-Instruct|openai/gpt-oss-120b|mistral-large-latest,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, meta-llama/Llama-3.1-8B-Instruct, openai/gpt-oss-120b, mistral-large-latest] [decider: meta-llama/Llama-3.1-8B-Instruct] [subcalls: voter:kimi-k2-0905-preview($0.0000/1ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), voter:meta-llama/Llama-3.1-8B-Instruct($0.0000/4772ms), voter:openai/gpt-oss-120b($0.0019/7136ms), voter:mistral-large-latest($0.0083/25912ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → meta-llama/Llama-3.1-8B-Instruct → openai/gpt-oss-120b → mistral-large-latest] [aggregation: synthesis]"
57,1,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|qwen/qwen3-32b|codestral-latest|mistralai/ministral-14b-instruct-2512,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, qwen/qwen3-32b, codestral-latest, mistralai/ministral-14b-instruct-2512] [decider: qwen/qwen3-32b] [subcalls: voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), voter:qwen/qwen3-32b($0.0014/4132ms), voter:codestral-latest($0.0019/20563ms), voter:mistralai/ministral-14b-instruct-2512($0.0168/38898ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → qwen/qwen3-32b → codestral-latest → mistralai/ministral-14b-instruct-2512] [aggregation: synthesis]"
57,2,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b] [decider: openai/gpt-oss-120b] [subcalls: voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:openai/gpt-oss-120b($0.0007/2338ms), voter:openai/gpt-oss-120b($0.0019/7509ms), voter:openai/gpt-oss-120b($0.0235/40999ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b] [aggregation: agreement_individual]"
62,1,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|codestral-latest|mistralai/ministral-14b-instruct-2512,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, codestral-latest, mistralai/ministral-14b-instruct-2512] [decider: codestral-latest] [subcalls: voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:codestral-latest($0.0022/24101ms), voter:mistralai/ministral-14b-instruct-2512($0.0350/78345ms), voter:mistralai/ministral-14b-instruct-2512($0.0279/133490ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → codestral-latest → mistralai/ministral-14b-instruct-2512] [aggregation: synthesis]"
62,2,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b|qwen3-max-preview,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b, qwen3-max-preview] [decider: openai/gpt-oss-120b] [subcalls: voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:openai/gpt-oss-120b($0.0007/2617ms), voter:openai/gpt-oss-120b($0.0019/6764ms), voter:qwen3-max-preview($2.4295/78142ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b → qwen3-max-preview] [aggregation: synthesis]"
89,1,consensus,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|codestral-latest|Qwen/Qwen3-8B|phala/qwen3.5-397b-a17b,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, codestral-latest, Qwen/Qwen3-8B, phala/qwen3.5-397b-a17b] [decider: phala/qwen3.5-397b-a17b] [subcalls: voter:phala/gpt-oss-120b($0.0000/0ms), voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:codestral-latest($0.0006/5773ms), voter:Qwen/Qwen3-8B($0.0003/10612ms), coordinator:phala/qwen3.5-397b-a17b($0.0075/0ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → codestral-latest → Qwen/Qwen3-8B → phala/qwen3.5-397b-a17b] [aggregation: synthesis]"
89,1,consensus,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|codestral-latest|Qwen/Qwen3-8B|phala/qwen3.5-397b-a17b,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, codestral-latest, Qwen/Qwen3-8B, phala/qwen3.5-397b-a17b] [decider: phala/qwen3.5-397b-a17b] [subcalls: voter:phala/gpt-oss-120b($0.0000/0ms), voter:kimi-k2-0905-preview($0.0000/1ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), voter:codestral-latest($0.0005/6834ms), voter:Qwen/Qwen3-8B($0.0003/8155ms), coordinator:phala/qwen3.5-397b-a17b($0.0075/0ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → codestral-latest → Qwen/Qwen3-8B → phala/qwen3.5-397b-a17b] [aggregation: synthesis]"
89,1,consensus,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|codestral-latest|Qwen/Qwen3-8B|phala/qwen3.5-397b-a17b,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, codestral-latest, Qwen/Qwen3-8B, phala/qwen3.5-397b-a17b] [decider: phala/qwen3.5-397b-a17b] [subcalls: voter:phala/gpt-oss-120b($0.0000/0ms), voter:kimi-k2-0905-preview($0.0000/1ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), voter:codestral-latest($0.0005/6425ms), voter:Qwen/Qwen3-8B($0.0003/9025ms), coordinator:phala/qwen3.5-397b-a17b($0.0075/0ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → codestral-latest → Qwen/Qwen3-8B → phala/qwen3.5-397b-a17b] [aggregation: synthesis]"
89,2,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b|meta-llama/Llama-3.1-8B-Instruct,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b, meta-llama/Llama-3.1-8B-Instruct] [decider: openai/gpt-oss-120b] [subcalls: voter:kimi-k2-0905-preview($0.0000/1ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), voter:openai/gpt-oss-120b($0.0012/4962ms), voter:openai/gpt-oss-120b($0.0105/10779ms), voter:meta-llama/Llama-3.1-8B-Instruct($0.0001/17758ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b → meta-llama/Llama-3.1-8B-Instruct] [aggregation: synthesis]"
89,2,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|Qwen/Qwen3-32B|openai/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, Qwen/Qwen3-32B, openai/gpt-oss-120b] [decider: Qwen/Qwen3-32B] [subcalls: voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:Qwen/Qwen3-32B($0.0003/3102ms), voter:openai/gpt-oss-120b($0.0010/3754ms), voter:openai/gpt-oss-120b($0.0089/9877ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → Qwen/Qwen3-32B → openai/gpt-oss-120b] [aggregation: synthesis]"
89,2,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b|meta-llama/Llama-3.1-8B-Instruct,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b, meta-llama/Llama-3.1-8B-Instruct] [decider: openai/gpt-oss-120b] [subcalls: voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), voter:openai/gpt-oss-120b($0.0012/4022ms), voter:meta-llama/Llama-3.1-8B-Instruct($0.0000/7569ms), voter:openai/gpt-oss-120b($0.0144/14397ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b → meta-llama/Llama-3.1-8B-Instruct] [aggregation: synthesis]"
98,1,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|codestral-latest|Qwen/Qwen3-8B|mistralai/ministral-14b-instruct-2512,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, codestral-latest, Qwen/Qwen3-8B, mistralai/ministral-14b-instruct-2512] [decider: codestral-latest] [subcalls: voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:codestral-latest($0.0001/1097ms), voter:Qwen/Qwen3-8B($0.0001/2231ms), voter:mistralai/ministral-14b-instruct-2512($0.0046/12463ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → codestral-latest → Qwen/Qwen3-8B → mistralai/ministral-14b-instruct-2512] [aggregation: synthesis]"
98,2,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|codestral-latest|mistralai/ministral-14b-instruct-2512,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, codestral-latest, mistralai/ministral-14b-instruct-2512] [decider: codestral-latest] [subcalls: voter:kimi-k2-0905-preview($0.0000/1ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), voter:codestral-latest($0.0001/1342ms), voter:mistralai/ministral-14b-instruct-2512($0.0060/16088ms), voter:mistralai/ministral-14b-instruct-2512($0.0083/24335ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → codestral-latest → mistralai/ministral-14b-instruct-2512] [aggregation: synthesis]"
102,1,consensus,"","[cost:missing,confidence:none] [ERROR] HTTP 422 [capability_dependency_unavailable] Video orchestration exhausted 6 candidate model(s) without success"
102,2,consensus,"","[cost:missing,confidence:none] [ERROR] HTTP 422 [capability_dependency_unavailable] Video orchestration exhausted 6 candidate model(s) without success"
112,1,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|Qwen/Qwen3-8B|mistralai/ministral-14b-instruct-2512,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, Qwen/Qwen3-8B, mistralai/ministral-14b-instruct-2512] [decider: Qwen/Qwen3-8B] [subcalls: voter:kimi-k2-0905-preview($0.0000/1ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:Qwen/Qwen3-8B($0.0004/13161ms), voter:mistralai/ministral-14b-instruct-2512($0.0122/33153ms), voter:mistralai/ministral-14b-instruct-2512($0.0276/82639ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → Qwen/Qwen3-8B → mistralai/ministral-14b-instruct-2512] [aggregation: synthesis]"
112,2,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|codestral-latest|mistralai/ministral-14b-instruct-2512,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, codestral-latest, mistralai/ministral-14b-instruct-2512] [decider: codestral-latest] [subcalls: voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:codestral-latest($0.0009/9776ms), voter:mistralai/ministral-14b-instruct-2512($0.0126/25028ms), voter:mistralai/ministral-14b-instruct-2512($0.0201/68208ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → codestral-latest → mistralai/ministral-14b-instruct-2512] [aggregation: synthesis]"
116,1,consensus,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|codestral-latest|Qwen/Qwen3-8B,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, codestral-latest, Qwen/Qwen3-8B] [decider: codestral-latest] [subcalls: voter:phala/gpt-oss-120b($0.0000/0ms), voter:kimi-k2-0905-preview($0.0000/1ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), voter:codestral-latest($0.0002/1842ms), voter:Qwen/Qwen3-8B($0.0001/3530ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → codestral-latest → Qwen/Qwen3-8B] [aggregation: verified_individual] [verified: override_to_voter/checker 2/2 by codestral-latest]"
117,1,consensus,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|deepseek-v4-pro|Qwen/Qwen3-8B,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, deepseek-v4-pro, Qwen/Qwen3-8B] [decider: deepseek-v4-pro] [subcalls: voter:phala/gpt-oss-120b($0.0000/1ms), voter:kimi-k2-0905-preview($0.0000/1ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), voter:deepseek-v4-pro($0.3272/6729ms), voter:Qwen/Qwen3-8B($0.0003/10345ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → deepseek-v4-pro → Qwen/Qwen3-8B] [aggregation: verified_individual] [verified: override_to_voter/checker 2/2 by deepseek-v4-pro]"
